ORI,year,department_name,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,source,url
AZ00717,1975,"Mesa, Ariz.",113176,267,2,22,98,145,12,235.9157419,1.767159115,19.43875027,86.59079664,128.1190358,NA,NA
AZ00717,1976,"Mesa, Ariz.",100763,311,5,15,89,202,12,308.6450384,4.96213888,14.88641664,88.32607207,200.4704108,NA,NA
AZ00717,1977,"Mesa, Ariz.",116400,385,4,34,83,264,12,330.7560137,3.436426117,29.20962199,71.30584192,226.8041237,NA,NA
AZ00717,1978,"Mesa, Ariz.",124937,493,4,40,121,328,12,394.5988778,3.201613613,32.01613613,96.8488118,262.5323163,NA,NA
AZ00717,1979,"Mesa, Ariz.",115498,755,2,53,153,547,12,653.690973,1.731631717,45.88824049,132.4698263,473.6012745,NA,NA
AZ00717,1980,"Mesa, Ariz.",149662,812,10,62,193,547,12,542.5558926,6.681722815,41.42668146,128.9572503,365.490238,NA,NA
AZ00717,1981,"Mesa, Ariz.",153941,741,1,51,143,546,12,481.3532457,0.649599522,33.12957562,92.89273163,354.681339,NA,NA
AZ00717,1982,"Mesa, Ariz.",157634,705,3,40,129,533,12,447.2385399,1.903142723,25.37523631,81.83513709,338.1250238,NA,NA
AZ00717,1983,"Mesa, Ariz.",163310,798,8,36,150,604,12,488.6412345,4.898658992,22.04396546,91.8498561,369.8487539,NA,NA
AZ00717,1984,"Mesa, Ariz.",181287,871,6,56,127,682,12,480.4536453,3.309669199,30.89024585,70.0546647,376.1990656,NA,NA
AZ00717,1985,"Mesa, Ariz.",202450,1121,8,70,156,887,12,553.7169672,3.951592986,34.57643863,77.05606323,438.1328723,NA,NA
AZ00717,1986,"Mesa, Ariz.",210702,1208,11,117,239,841,12,573.3215632,5.220643373,55.52866133,113.4303424,399.1419161,NA,NA
AZ00717,1987,"Mesa, Ariz.",262428,1293,9,96,222,966,12,492.7065709,3.429512095,36.58146234,84.59463167,368.1009648,NA,NA
AZ00717,1988,"Mesa, Ariz.",267642,1396,11,119,261,1005,12,521.5922762,4.109967793,44.46237885,97.51832672,375.5016029,NA,NA
AZ00717,1989,"Mesa, Ariz.",285883,1400,10,85,213,1092,12,489.7108258,3.49793447,29.73244299,74.5060042,381.9744441,NA,NA
AZ00717,1990,"Mesa, Ariz.",288091,1724,9,95,275,1345,12,598.4220264,3.124012899,32.97569171,95.45594968,466.8663721,NA,NA
AZ00717,1991,"Mesa, Ariz.",294754,2058,15,156,389,1498,12,698.2093542,5.088989462,52.92549041,131.9744601,508.2204143,NA,NA
AZ00717,1992,"Mesa, Ariz.",301200,2054,9,119,295,1631,12,681.938911,2.988047809,39.50863214,97.94156707,541.500664,NA,NA
AZ00717,1993,"Mesa, Ariz.",304695,2335,6,111,410,1808,12,766.3401106,1.969182297,36.4298725,134.5607903,593.3802655,NA,NA
AZ00717,1994,"Mesa, Ariz.",315456,2364,17,120,407,1820,12,749.3913573,5.389024143,38.04017042,129.019578,576.9425847,NA,NA
AZ00717,1995,"Mesa, Ariz.",324654,2638,17,128,507,1986,12,812.5573688,5.236343923,39.42658954,156.166257,611.7281783,NA,NA
AZ00717,1996,"Mesa, Ariz.",340818,2459,18,110,506,1825,12,721.4994513,5.281411193,32.27529062,148.4663369,535.4764126,NA,NA
AZ00717,1997,"Mesa, Ariz.",350592,2554,13,126,450,1965,12,728.4821103,3.708013874,35.93921139,128.3543264,560.4805586,NA,NA
AZ00717,1998,"Mesa, Ariz.",364588,2413,11,120,501,1781,12,661.842957,3.017104238,32.91386442,137.4153839,488.4966044,NA,NA
AZ00717,1999,"Mesa, Ariz.",368537,2132,9,134,370,1619,12,578.5036509,2.442088583,36.35998556,100.3969751,439.3046017,NA,NA
AZ00717,2000,"Mesa, Ariz.",396375,2393,15,120,433,1825,12,603.7212236,3.784295175,30.2743614,109.2399874,460.4225796,NA,NA
AZ00717,2001,"Mesa, Ariz.",410026,2516,17,106,452,1941,12,613.6196241,4.146078541,25.85201914,110.2369118,473.3846146,NA,NA
AZ00717,2002,"Mesa, Ariz.",421547,2887,22,129,590,2146,12,684.8583906,5.218872391,30.60156993,139.9606687,509.0772796,NA,NA
AZ00717,2003,"Mesa, Ariz.",436569,2346,14,116,431,1785,12,537.3720993,3.206824122,26.57082844,98.72437118,408.8700755,NA,NA
AZ00717,2004,"Mesa, Ariz.",445006,2500,22,124,421,1933,12,561.7901781,4.943753567,27.86479283,94.60546599,434.3761657,NA,NA
